source_url	parsed_url
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/ten-months-rights-apocalyptic-rants-about-trump-documents-case
https://www.mediamatters.org/	https://www.mediamatters.org/#search
https://www.mediamatters.org/	https://www.mediamatters.org/?page=1
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/outgoing-cnn-ceo-chris-licht-did-exactly-what-was-expected-him
https://www.mediamatters.org/	https://www.mediamatters.org/terms-conditions
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/right-wing-media-celebrate-cnns-town-hall-donald-trump
https://www.mediamatters.org/	https://www.mediamatters.org/#narrative
https://www.mediamatters.org/	https://www.youtube.com/channel/UC_70iWZ6ym2cglS_kv5YfmA
https://www.mediamatters.org/	https://www.mediamatters.org/themes/custom/mmfa_theme/favicon.ico
https://www.mediamatters.org/	https://www.mediamatters.org/#youtube
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-provides-cover-ron-desantis-latest-cruel-migrant-flight-stunt
https://www.mediamatters.org/	https://www.mediamatters.org/donald-trump/conservatives-attack-special-counsel-jack-smith-evidence-builds-against-trump
https://www.mediamatters.org/	https://www.mediamatters.org/health-care/looming-court-decision-could-revoke-abortion-pill-access-nationwide-msnbc-only-cable
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/over-year-after-her-last-race-against-lia-thomas-riley-gaines-has-built-media-career-trans
https://www.mediamatters.org/	https://www.mediamatters.org/charlie-kirk/charlie-kirk-starbucks-now-taking-down-their-pride-flags-well-were-not-going-forget
https://www.mediamatters.org/	https://www.mediamatters.org/julie-kelly/speaker-kevin-mccarthy-reportedly-giving-january-6-security-footage-conspiracy-theorist
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/new-data-shows-conservatives-are-still-not-being-censored-facebook-even-engagement
https://www.mediamatters.org/	https://twitter.com/mmfa
https://www.mediamatters.org/	https://www.mediamatters.org/charlie-kirk/charlie-kirk-tells-young-womens-leadership-summit-most-importantly-please-become-wife
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_RU1WYR7X70QjhvL62_lE-Mmsn10zn8D85_M4ztVfCCs.css
https://www.mediamatters.org/	https://www.mediamatters.org/#twitter
https://www.mediamatters.org/	https://www.mediamatters.org/health-care/conventional-abortion-pill-regimens-likely-be-pulled-anti-choice-activists-are
https://www.mediamatters.org/	https://www.mediamatters.org/#article
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/200-things-fox-news-has-labeled-woke
https://www.mediamatters.org/	https://www.instagram.com/mediamattersforamerica/
https://www.mediamatters.org/	https://www.mediamatters.org/candace-owens/candace-owens-tpusas-young-womens-leadership-summit-every-ill-we-are-fighting-right
https://www.mediamatters.org/	https://www.mediamatters.org/abortion-rights-and-reproductive-health
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/cnn-should-have-known-better-give-donald-trump-free-rein-lie-national-audience
https://www.nytimes.com/guides/	https://www.nytimes.com/guides/#stream-panel
https://www.nytimes.com/guides/	https://www.nytimes.com/sitemap/
https://www.nytimes.com/guides/	https://www.nytimes.com/vi-assets/static-assets/ios-default-homescreen-57x57-43808a4cd5333b648057a01624d84960.png
https://www.nytimes.com/guides/	https://www.nytimes.com/ca/?action=click&amp;region=Footer&amp;pgtype=Homepage
https://www.nytimes.com/guides/	https://www.nytimes.com/guides/#after-sponsor
